interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-24	14:19:59	14	SR04	1	SR04	1
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-24	14:22:16	3	SR04	1	MJS01	2
92-58-28-34	563ac7ba3e6e4e55b3245a1a74b18cf4	2020-01-25	14:42:20	5	MJS01	2	any headquarters	3
50-31-27-78	67581be46f734272844585173fef48a6	2020-01-24	07:57:13	12	SR04	1	SR04	1
50-31-27-78	67581be46f734272844585173fef48a6	2020-01-24	07:57:13	0	SR04	1	MJS01	2
50-31-27-78	67581be46f734272844585173fef48a6	2020-01-24	07:57:13	1	SR04	1	SR04	1
50-31-27-78	67581be46f734272844585173fef48a6	2020-01-24	07:57:17	2	SR04	1	SR04	1
50-31-27-78	67581be46f734272844585173fef48a6	2020-01-24	08:04:06	3	SR04	1	MJS01	2
50-31-27-78	67581be46f734272844585173fef48a6	2020-01-24	14:22:22	4	SR04	1	SR04	1
50-31-27-78	67581be46f734272844585173fef48a6	2020-01-24	14:22:23	14	SR04	1	SR04	1
50-31-27-78	67581be46f734272844585173fef48a6	2020-01-24	14:25:29	3	SR04	1	MJS01	2
50-31-27-78	67581be46f734272844585173fef48a6	2020-01-25	14:42:00	5	MJS01	2	any headquarters	3
37-08-63-30	4d50faadd2f346e3943ec99bc1bb96e7	2020-01-24	06:41:29	12	SR04	1	SR04	1
37-08-63-30	4d50faadd2f346e3943ec99bc1bb96e7	2020-01-24	06:41:29	0	SR04	1	MJS01	2
37-08-63-30	4d50faadd2f346e3943ec99bc1bb96e7	2020-01-24	06:41:29	1	SR04	1	SR04	1
37-08-63-30	4d50faadd2f346e3943ec99bc1bb96e7	2020-01-24	06:41:30	2	SR04	1	SR04	1
37-08-63-30	4d50faadd2f346e3943ec99bc1bb96e7	2020-01-24	06:48:38	3	SR04	1	MJS01	2
37-08-63-30	4d50faadd2f346e3943ec99bc1bb96e7	2020-01-24	14:12:09	4	SR04	1	SR04	1
37-08-63-30	4d50faadd2f346e3943ec99bc1bb96e7	2020-01-24	14:12:11	14	SR04	1	SR04	1
37-08-63-30	4d50faadd2f346e3943ec99bc1bb96e7	2020-01-24	14:14:59	3	SR04	1	MJS01	2
37-08-63-30	4d50faadd2f346e3943ec99bc1bb96e7	2020-01-25	14:43:21	5	MJS01	2	any headquarters	3
57-53-26-39	4e4f0b4c50f74be483e185d7ec642a5a	2020-01-24	06:29:53	12	SR04	1	SR04	1
57-53-26-39	4e4f0b4c50f74be483e185d7ec642a5a	2020-01-24	06:29:53	0	SR04	1	MJS01	2
57-53-26-39	4e4f0b4c50f74be483e185d7ec642a5a	2020-01-24	06:29:53	1	SR04	1	SR04	1
57-53-26-39	4e4f0b4c50f74be483e185d7ec642a5a	2020-01-24	06:29:55	2	SR04	1	SR04	1
57-53-26-39	4e4f0b4c50f74be483e185d7ec642a5a	2020-01-24	06:37:52	3	SR04	1	MJS01	2
57-53-26-39	4e4f0b4c50f74be483e185d7ec642a5a	2020-01-24	14:09:44	4	SR04	1	SR04	1
57-53-26-39	4e4f0b4c50f74be483e185d7ec642a5a	2020-01-24	14:09:44	14	SR04	1	SR04	1
57-53-26-39	4e4f0b4c50f74be483e185d7ec642a5a	2020-01-24	14:12:02	3	SR04	1	MJS01	2
57-53-26-39	4e4f0b4c50f74be483e185d7ec642a5a	2020-01-25	14:43:43	5	MJS01	2	any headquarters	3
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	05:53:43	12	SR04	1	SR04	1
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	05:53:43	0	SR04	1	MJS01	2
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	05:53:43	1	SR04	1	SR04	1
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	05:54:04	2	SR04	1	SR04	1
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	06:01:06	15	SR04	1	SR04	1
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	06:02:12	14	SR04	1	SR04	1
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	06:02:42	15	SR04	1	SR04	1
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	06:03:09	14	SR04	1	SR04	1
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	06:03:11	3	SR04	1	MJS01	2
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	13:46:50	4	SR04	1	SR04	1
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	13:46:51	14	SR04	1	SR04	1
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	13:47:27	15	SR04	1	SR04	1
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	13:56:34	14	SR04	1	SR04	1
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-24	13:56:40	3	SR04	1	MJS01	2
96-58-28-93	cf4d4b3a5c2e40bdb32efd74addfecc0	2020-01-25	14:44:38	5	MJS01	2	any headquarters	3
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-24	07:07:47	12	SR04	1	SR04	1
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-24	07:07:47	0	SR04	1	MJS01	2
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-24	07:07:47	1	SR04	1	SR04	1
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-24	07:07:49	2	SR04	1	SR04	1
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-24	07:16:47	3	SR04	1	MJS01	2
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-24	13:21:33	4	SR04	1	SR04	1
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-24	13:21:35	14	SR04	1	SR04	1
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-24	13:22:15	3	SR04	1	MJS01	2
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-24	13:26:38	4	SR04	1	SR04	1
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-24	13:26:38	14	SR04	1	SR04	1
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-24	13:26:48	3	SR04	1	MJS01	2
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-25	14:45:12	17	MJS01	2	MJS01	2
63-37-96-45	f9cea37d0b4e4ce8bf2f69a79fd11dcc	2020-01-25	14:45:45	5	MJS01	2	any headquarters	3
64-44-43-25	fb6177043d0b495698e1a03b50da05e8	2020-01-24	06:19:58	12	SR04	1	SR04	1
64-44-43-25	fb6177043d0b495698e1a03b50da05e8	2020-01-24	06:19:58	0	SR04	1	MJS01	2
64-44-43-25	fb6177043d0b495698e1a03b50da05e8	2020-01-24	06:19:58	1	SR04	1	SR04	1
64-44-43-25	fb6177043d0b495698e1a03b50da05e8	2020-01-24	06:20:00	2	SR04	1	SR04	1
64-44-43-25	fb6177043d0b495698e1a03b50da05e8	2020-01-24	06:27:33	3	SR04	1	MJS01	2
64-44-43-25	fb6177043d0b495698e1a03b50da05e8	2020-01-24	14:03:56	4	SR04	1	SR04	1
64-44-43-25	fb6177043d0b495698e1a03b50da05e8	2020-01-24	14:03:56	14	SR04	1	SR04	1
64-44-43-25	fb6177043d0b495698e1a03b50da05e8	2020-01-24	14:04:49	15	SR04	1	SR04	1
64-44-43-25	fb6177043d0b495698e1a03b50da05e8	2020-01-24	14:08:24	14	SR04	1	SR04	1
64-44-43-25	fb6177043d0b495698e1a03b50da05e8	2020-01-24	14:09:37	3	SR04	1	MJS01	2
64-44-43-25	fb6177043d0b495698e1a03b50da05e8	2020-01-25	14:44:01	5	MJS01	2	any headquarters	3
60-70-09-32	fb6bd8f0ac72482c87e953ef6aadec07	2020-01-24	06:03:18	12	SR04	1	SR04	1
60-70-09-32	fb6bd8f0ac72482c87e953ef6aadec07	2020-01-24	06:03:18	0	SR04	1	MJS01	2
60-70-09-32	fb6bd8f0ac72482c87e953ef6aadec07	2020-01-24	06:03:18	1	SR04	1	SR04	1
